loan_amount,loan_repaid,crop_insured,years_of_exp_in_sericulture,training_on_sericulture,krishi_pond,borewell_recharge,rain_harvesting,own_compost_manure,own_vermi_compost,trenching_mulching,bio_fertilizers,mechanization,mulberry_diseases,affected_by_pest,rearing_cost,instrument_mgmt_cost,temp_mgmt,humidity_mgmt,airvent_temp_mgmt,rotary_mounting,seri_total_subsidy,income_per_acre,chawki_bivol,rearing_cost_missing
0,1,0,30,0,0,0,0,0,0,0,1,1,1,1,35000,3000,1,1,1,0,78000,86956.52174,0,35000
0,1,0,30,0,0,0,0,1,0,0,1,1,1,1,15000,5000,1,1,1,0,50000,20000,0,15000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,0,60000,3000,1,1,1,0,50000,153846.1538,0,60000
175000,0,0,40,0,0,0,0,1,0,0,1,1,0,1,40000,1000,1,1,1,0,38000,31250,0,40000
5000,1,0,20,0,1,0,0,1,0,0,1,1,1,1,50000,3000,1,1,1,0,20000,66666.66667,0,50000
80000,0,0,10,1,0,0,0,0,0,0,1,0,1,1,40000,3000,1,1,1,0,24000,26000,0,40000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,60000,300,1,1,1,0,50000,35000,0,60000
0,1,0,3,0,0,0,0,1,0,1,1,1,1,1,15000,1000,1,1,1,0,15000,83333.33333,0,15000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,0,4000,3000,1,1,1,0,50000,-24600,0,4000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,30000,3000,1,1,1,0,50000,90909.09091,0,30000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,40000,3000,1,1,1,0,0,28571.42857,0,40000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,1,1.00E+05,2500,1,1,1,0,50000,75000,0,1.00E+05
0,1,0,10,0,0,0,0,1,0,0,1,1,1,1,10000,10000,1,1,1,0,0,25000,0,10000
0,1,0,25,1,0,0,0,1,0,0,1,1,1,1,3000,3000,1,1,1,0,0,-6666.666667,0,3000
